subid,horizon,choice_time,type,side,stim_1,stim_2,calculation,accuracy,mult_rew,add_rew,trial_nr,game_nr,time_elapsed
4711,5,5163,mult,left,-1,-1,-1,-1,69,47,1,-2,203258
4711,5,735,mult,left,-1,-1,-1,-1,58,60,2,-2,205004
4711,5,919,add,right,-1,-1,-1,-1,64,40,3,-2,206935
4711,5,594,add,right,-1,-1,-1,-1,75,39,4,-2,208539
4711,5,15446,add,right,2,4,6,1,60,54,5,-2,224995
4711,8,2338,add,right,-1,-1,-1,-1,51,47,1,-1,230515
4711,8,684,mult,left,-1,-1,-1,-1,54,57,2,-1,232211
4711,8,572,add,right,-1,-1,-1,-1,66,52,3,-1,233792
4711,8,573,add,right,-1,-1,-1,-1,53,67,4,-1,235374
4711,8,9716,mult,left,5,8,40,1,60,58,5,-1,246101
4711,8,8943,mult,left,6,14,84,1,38,58,6,-1,256054
4711,8,4171,add,right,10,16,26,1,41,58,7,-1,261238
4711,8,1951,add,right,3,14,17,1,49,62,8,-1,264201
3925,5,3532,add,left,-1,-1,-1,-1,58,48,1,-2,329978
3925,5,999,mult,right,-1,-1,-1,-1,53,59,2,-2,331986
3925,5,1251,add,left,-1,-1,-1,-1,60,51,3,-2,334250
3925,5,944,add,left,-1,-1,-1,-1,63,57,4,-2,336203
3925,5,18882,mult,right,12,20,240,1,54,44,5,-2,356096
3925,8,1781,mult,right,-1,-1,-1,-1,37,56,1,-1,361832
3925,8,466,mult,right,-1,-1,-1,-1,25,84,2,-1,363309
3925,8,406,add,left,-1,-1,-1,-1,52,70,3,-1,364730
3925,8,364,add,left,-1,-1,-1,-1,41,66,4,-1,366104
3925,8,6246,add,left,7,20,27,1,32,67,5,-1,373359
3925,8,4692,mult,right,8,8,64,1,47,63,6,-1,379060
3925,8,3013,mult,right,3,13,39,1,52,72,7,-1,383084
3925,8,6348,add,left,13,18,31,1,35,53,8,-1,390440
2720,5,2076,add,right,-1,-1,-1,-1,53,48,1,-2,138706
2720,5,1555,mult,left,-1,-1,-1,-1,56,50,2,-2,141271
2720,5,964,add,right,-1,-1,-1,-1,62,51,3,-2,143244
2720,5,421,mult,left,-1,-1,-1,-1,57,57,4,-2,144672
2720,5,2456,-1,-1,11,23,4,0,58,55,5,-2,148138
2720,8,1478,add,right,-1,-1,-1,-1,47,47,1,-1,150640
2720,8,416,add,right,-1,-1,-1,-1,44,50,2,-1,152068
2720,8,409,mult,left,-1,-1,-1,-1,48,49,3,-1,153491
2720,8,119,mult,left,-1,-1,-1,-1,42,42,4,-1,154622
2720,8,3226,-1,-1,3,19,493,0,46,33,5,-1,158862
2720,8,4726,-1,-1,8,9,48,0,23,40,6,-1,164601
2720,8,2817,-1,-1,9,13,231,0,54,35,7,-1,168427
2720,8,3182,-1,-1,11,14,444,0,59,44,8,-1,172625
4362,5,4397,add,left,-1,-1,-1,-1,57,38,1,-2,280734
4362,5,2358,add,left,-1,-1,-1,-1,60,31,2,-2,284100
4362,5,598,mult,right,-1,-1,-1,-1,38,41,3,-2,285705
4362,5,548,mult,right,-1,-1,-1,-1,51,37,4,-2,287258
4362,5,11909,add,left,19,19,38,1,44,25,5,-2,300174
4362,8,2760,add,left,-1,-1,-1,-1,52,56,1,-1,308063
4362,8,301,mult,right,-1,-1,-1,-1,59,30,2,-1,309372
4362,8,494,mult,right,-1,-1,-1,-1,63,39,3,-1,310875
4362,8,306,add,left,-1,-1,-1,-1,61,33,4,-1,312188
4362,8,5009,add,left,5,16,21,1,56,50,5,-1,318205
4362,8,4833,mult,right,4,23,92,1,48,40,6,-1,324045
4362,8,3501,add,left,13,15,28,1,54,28,7,-1,328554
4362,8,2264,mult,right,1,3,3,1,56,29,8,-1,331825
1425,5,3339,mult,left,-1,-1,-1,-1,27,57,1,-2,301610
1425,5,707,mult,left,-1,-1,-1,-1,33,57,2,-2,303328
1425,5,1506,add,right,-1,-1,-1,-1,22,58,3,-2,305842
1425,5,751,mult,left,-1,-1,-1,-1,42,53,4,-2,307602
1425,5,9619,add,right,7,21,28,1,39,71,5,-2,318232
1425,8,1079,add,right,-1,-1,-1,-1,48,31,1,-1,323608
1425,8,549,mult,left,-1,-1,-1,-1,28,36,2,-1,325165
1425,8,383,mult,left,-1,-1,-1,-1,41,42,3,-1,326558
1425,8,426,mult,left,-1,-1,-1,-1,41,40,4,-1,327994
1425,8,7610,mult,left,6,17,102,1,55,22,5,-1,336610
1425,8,1994,add,right,15,15,30,1,48,35,6,-1,339613
1425,8,6342,add,right,15,17,32,1,52,37,7,-1,346963
1425,8,9193,add,right,6,8,14,1,39,44,8,-1,357166
4869,5,1979,mult,left,-1,-1,-1,-1,51,57,1,-2,689127
4869,5,1336,mult,left,-1,-1,-1,-1,55,61,2,-2,691473
4869,5,905,add,right,-1,-1,-1,-1,46,54,3,-2,693384
4869,5,830,mult,left,-1,-1,-1,-1,51,74,4,-2,695220
4869,5,11071,add,right,10,24,34,1,56,59,5,-2,707297
4869,8,1355,add,right,-1,-1,-1,-1,57,53,1,-1,713005
4869,8,1214,add,right,-1,-1,-1,-1,56,37,2,-1,715225
4869,8,987,mult,left,-1,-1,-1,-1,50,46,3,-1,717220
4869,8,600,add,right,-1,-1,-1,-1,42,33,4,-1,718827
4869,8,6918,add,right,12,15,27,1,44,41,5,-1,726750
4869,8,11190,-1,-1,19,19,34,0,51,26,6,-1,738946
4869,8,3646,add,right,4,13,17,1,38,30,7,-1,743598
4869,8,4795,add,right,18,18,36,1,54,47,8,-1,749399
3244,5,4732,add,left,-1,-1,-1,-1,59,49,1,-2,462888
3244,5,815,mult,right,-1,-1,-1,-1,64,42,2,-2,464725
3244,5,489,mult,right,-1,-1,-1,-1,54,57,3,-2,466233
3244,5,583,add,left,-1,-1,-1,-1,54,37,4,-2,467835
3244,5,13529,mult,right,6,12,72,1,71,41,5,-2,482380
3244,8,1817,add,left,-1,-1,-1,-1,68,38,1,-1,487923
3244,8,477,mult,right,-1,-1,-1,-1,60,42,2,-1,489420
3244,8,414,mult,right,-1,-1,-1,-1,66,31,3,-1,490852
3244,8,429,add,left,-1,-1,-1,-1,62,30,4,-1,492301
3244,8,9976,add,left,8,15,23,1,59,10,5,-1,503295
3244,8,6612,add,left,11,24,35,1,34,37,6,-1,510928
3244,8,6221,mult,right,2,14,28,1,62,38,7,-1,518170
3244,8,31184,add,left,17,24,41,1,59,47,8,-1,550374
4578,5,2486,mult,left,-1,-1,-1,-1,53,41,1,-2,353759
4578,5,1142,add,right,-1,-1,-1,-1,34,35,2,-2,355908
4578,5,817,mult,left,-1,-1,-1,-1,48,48,3,-2,357731
4578,5,587,mult,left,-1,-1,-1,-1,48,31,4,-2,359325
4578,5,4255,mult,left,1,21,21,1,46,41,5,-2,364586
4578,8,1039,mult,left,-1,-1,-1,-1,63,51,1,-1,368510
4578,8,758,add,right,-1,-1,-1,-1,55,66,2,-1,370274
4578,8,964,add,right,-1,-1,-1,-1,49,52,3,-1,372244
4578,8,437,add,right,-1,-1,-1,-1,69,54,4,-1,373688
4578,8,2985,add,right,16,24,40,1,63,60,5,-1,377680
4578,8,2820,add,right,11,19,30,1,61,56,6,-1,381507
4578,8,7015,add,right,16,23,39,1,62,71,7,-1,389529
4578,8,1977,add,right,5,11,16,1,54,58,8,-1,392513
3493,5,2234,mult,left,-1,-1,-1,-1,37,58,1,-2,339195
3493,5,1686,mult,left,-1,-1,-1,-1,26,47,2,-2,341888
3493,5,653,add,right,-1,-1,-1,-1,23,67,3,-2,343547
3493,5,664,mult,left,-1,-1,-1,-1,39,56,4,-2,345217
3493,5,3509,add,right,2,10,12,1,29,56,5,-2,349732
3493,8,1903,mult,left,-1,-1,-1,-1,38,64,1,-1,356722
3493,8,471,add,right,-1,-1,-1,-1,30,64,2,-1,358199
3493,8,529,mult,left,-1,-1,-1,-1,51,67,3,-1,359734
3493,8,445,add,right,-1,-1,-1,-1,37,71,4,-1,361185
3493,8,3842,add,right,6,22,28,1,42,78,5,-1,366032
3493,8,9579,-1,-1,16,18,304,0,16,83,6,-1,376616
3493,8,2729,add,right,6,14,20,1,35,77,7,-1,380352
3493,8,3508,add,right,8,9,17,1,34,75,8,-1,384867
4770,5,2707,mult,right,-1,-1,-1,-1,34,53,1,-2,324167
4770,5,523,mult,right,-1,-1,-1,-1,39,44,2,-2,325696
4770,5,389,mult,right,-1,-1,-1,-1,44,41,3,-2,327091
4770,5,471,add,left,-1,-1,-1,-1,48,48,4,-2,328567
4770,5,7081,add,left,6,16,22,1,47,59,5,-2,336654
4770,8,589,add,left,-1,-1,-1,-1,85,39,1,-1,341516
4770,8,489,mult,right,-1,-1,-1,-1,72,37,2,-1,343010
4770,8,395,add,left,-1,-1,-1,-1,61,46,3,-1,344411
4770,8,601,add,left,-1,-1,-1,-1,67,36,4,-1,346017
4770,8,5122,mult,right,4,4,16,1,75,27,5,-1,352144
4770,8,5424,add,left,12,15,27,1,71,26,6,-1,358574
4770,8,2936,mult,right,3,5,15,1,64,39,7,-1,362516
4770,8,4642,add,left,17,22,39,1,75,48,8,-1,368163
4621,5,4644,mult,left,-1,-1,-1,-1,33,68,1,-2,541594
4621,5,911,add,right,-1,-1,-1,-1,51,74,2,-2,543518
4621,5,688,mult,left,-1,-1,-1,-1,31,79,3,-2,545218
4621,5,3592,add,right,-1,-1,-1,-1,33,68,4,-2,549817
4621,5,8767,add,right,3,8,11,1,39,86,5,-2,559594
4621,8,2366,add,right,-1,-1,-1,-1,43,40,1,-1,565307
4621,8,531,mult,left,-1,-1,-1,-1,34,42,2,-1,566848
4621,8,801,mult,left,-1,-1,-1,-1,29,23,3,-1,568661
4621,8,527,mult,left,-1,-1,-1,-1,42,39,4,-1,570198
4621,8,8713,add,right,1,4,5,1,54,33,5,-1,579921
4621,8,16791,add,right,14,21,35,1,49,32,6,-1,597722
4621,8,4166,mult,left,1,16,16,1,42,42,7,-1,602896
4621,8,4982,-1,-1,12,12,224,0,41,32,8,-1,608888
4744,5,1799,mult,right,-1,-1,-1,-1,45,43,1,-2,409301
4744,5,2264,mult,right,-1,-1,-1,-1,50,49,2,-2,412576
4744,5,1038,add,left,-1,-1,-1,-1,54,39,3,-2,414625
4744,5,543,mult,right,-1,-1,-1,-1,45,19,4,-2,416179
4744,5,28181,add,left,8,24,32,1,57,42,5,-2,445366
4744,8,1755,mult,right,-1,-1,-1,-1,35,46,1,-1,456141
4744,8,1219,add,left,-1,-1,-1,-1,36,71,2,-1,458369
4744,8,427,add,left,-1,-1,-1,-1,28,74,3,-1,459808
4744,8,342,mult,right,-1,-1,-1,-1,31,79,4,-1,461160
4744,8,4338,add,left,20,22,42,1,40,74,5,-1,466504
4744,8,8441,mult,right,8,23,184,1,44,81,6,-1,475954
4744,8,8581,add,left,16,17,33,1,41,64,7,-1,485545
4744,8,1875,mult,right,2,8,16,1,33,69,8,-1,488430
4153,5,2414,add,left,-1,-1,-1,-1,57,51,1,-2,215212
4153,5,516,mult,right,-1,-1,-1,-1,80,52,2,-2,216741
4153,5,395,mult,right,-1,-1,-1,-1,53,46,3,-2,218145
4153,5,373,mult,right,-1,-1,-1,-1,59,61,4,-2,219530
4153,5,11253,add,left,10,20,30,1,57,57,5,-2,231795
4153,8,733,mult,right,-1,-1,-1,-1,42,54,1,-1,235485
4153,8,1558,add,left,-1,-1,-1,-1,36,36,2,-1,238055
4153,8,686,add,left,-1,-1,-1,-1,36,49,3,-1,239754
4153,8,725,add,left,-1,-1,-1,-1,24,47,4,-1,241487
4153,8,3701,-1,-1,11,17,38,0,35,44,5,-1,246202
4153,8,3555,mult,right,2,11,22,1,44,51,6,-1,250765
4153,8,3952,mult,right,6,20,120,1,53,41,7,-1,255729
4153,8,1796,add,left,3,12,15,1,40,26,8,-1,258533
2447,5,776,add,right,-1,-1,-1,-1,46,44,1,-2,200811
2447,5,1113,mult,left,-1,-1,-1,-1,46,50,2,-2,202932
2447,5,587,add,right,-1,-1,-1,-1,32,53,3,-2,204530
2447,5,1104,mult,left,-1,-1,-1,-1,38,43,4,-2,206643
2447,5,4159,add,right,6,14,20,1,40,36,5,-2,211809
2447,8,1042,mult,left,-1,-1,-1,-1,62,29,1,-1,214741
2447,8,463,mult,left,-1,-1,-1,-1,68,29,2,-1,216216
2447,8,335,add,right,-1,-1,-1,-1,60,26,3,-1,217562
2447,8,585,add,right,-1,-1,-1,-1,61,27,4,-1,219157
2447,8,3356,add,right,21,21,42,1,64,25,5,-1,223520
2447,8,3294,mult,left,5,6,30,1,53,28,6,-1,227822
2447,8,8320,mult,left,12,22,264,1,52,22,7,-1,237155
2447,8,2590,mult,left,10,18,180,1,74,21,8,-1,240759
2811,5,4064,mult,left,-1,-1,-1,-1,47,44,1,-2,318513
2811,5,676,add,right,-1,-1,-1,-1,37,63,2,-2,320199
2811,5,622,add,right,-1,-1,-1,-1,44,59,3,-2,321833
2811,5,315,mult,left,-1,-1,-1,-1,44,49,4,-2,323160
2811,5,8056,add,right,1,20,21,1,49,56,5,-2,332228
2811,8,922,mult,left,-1,-1,-1,-1,49,46,1,-1,337447
2811,8,524,add,right,-1,-1,-1,-1,61,41,2,-1,338980
2811,8,512,add,right,-1,-1,-1,-1,47,42,3,-1,340501
2811,8,756,add,right,-1,-1,-1,-1,46,38,4,-1,342270
2811,8,11332,mult,left,20,24,480,1,62,35,5,-1,354615
2811,8,5920,mult,left,5,13,65,1,64,54,6,-1,361549
2811,8,2044,mult,left,8,10,80,1,48,51,7,-1,364601
2811,8,6221,mult,left,6,18,108,1,45,40,8,-1,371831
1203,5,2375,mult,right,-1,-1,-1,-1,76,36,1,-2,499917
1203,5,943,mult,right,-1,-1,-1,-1,71,41,2,-2,501864
1203,5,1052,add,left,-1,-1,-1,-1,71,47,3,-2,503932
1203,5,1847,mult,right,-1,-1,-1,-1,73,51,4,-2,506782
1203,5,6039,mult,right,5,16,80,1,68,48,5,-2,513827
1203,8,1639,add,left,-1,-1,-1,-1,73,38,1,-1,518933
1203,8,420,add,left,-1,-1,-1,-1,54,43,2,-1,520369
1203,8,380,add,left,-1,-1,-1,-1,43,36,3,-1,521756
1203,8,450,mult,right,-1,-1,-1,-1,63,35,4,-1,523218
1203,8,13011,mult,right,13,17,221,1,59,38,5,-1,537247
1203,8,5649,mult,right,18,23,414,1,58,26,6,-1,543910
1203,8,6104,mult,right,17,22,374,1,67,38,7,-1,551025
1203,8,5563,mult,right,9,16,144,1,74,46,8,-1,557596
2584,5,4810,mult,right,-1,-1,-1,-1,58,38,1,-2,295266
2584,5,2106,add,left,-1,-1,-1,-1,52,31,2,-2,298377
2584,5,793,add,left,-1,-1,-1,-1,64,19,3,-2,300175
2584,5,671,add,left,-1,-1,-1,-1,67,29,4,-2,301852
2584,5,5386,mult,right,3,8,24,1,63,31,5,-2,308245
2584,8,37267,mult,right,-1,-1,-1,-1,41,40,1,-1,351663
2584,8,411,mult,right,-1,-1,-1,-1,34,44,2,-1,353080
2584,8,424,add,left,-1,-1,-1,-1,34,44,3,-1,354512
2584,8,481,add,left,-1,-1,-1,-1,47,35,4,-1,355998
2584,8,9357,add,left,12,16,28,1,41,32,5,-1,366363
2584,8,19252,mult,right,12,23,276,1,39,48,6,-1,386622
2584,8,9628,-1,-1,11,21,33,0,39,31,7,-1,397258
2584,8,11422,mult,right,7,9,63,1,57,35,8,-1,409686
4507,5,1029,add,left,-1,-1,-1,-1,52,43,1,-2,397663
4507,5,467,mult,right,-1,-1,-1,-1,34,56,2,-2,399149
4507,5,706,mult,right,-1,-1,-1,-1,62,45,3,-2,400869
4507,5,532,mult,right,-1,-1,-1,-1,35,52,4,-2,402420
4507,5,3210,mult,right,2,6,12,1,38,44,5,-2,406642
4507,8,1015,mult,right,-1,-1,-1,-1,58,30,1,-1,415345
4507,8,582,mult,right,-1,-1,-1,-1,66,38,2,-1,416949
4507,8,594,add,left,-1,-1,-1,-1,57,52,3,-1,418566
4507,8,461,add,left,-1,-1,-1,-1,64,47,4,-1,420038
4507,8,2931,add,left,17,20,37,1,67,41,5,-1,423981
4507,8,5879,add,left,18,24,42,1,52,36,6,-1,430878
4507,8,5888,mult,right,5,17,85,1,73,28,7,-1,437788
4507,8,2479,add,left,9,12,21,1,46,40,8,-1,441283
471,5,831,add,left,-1,-1,-1,-1,71,27,1,-2,100029
471,5,28,add,left,-1,-1,-1,-1,58,50,2,-2,101068
471,5,144,mult,right,-1,-1,-1,-1,54,48,3,-2,102220
471,5,17,mult,right,-1,-1,-1,-1,69,30,4,-2,103248
471,5,3991,mult,right,10,23,230,1,64,37,5,-2,108248
471,8,1228,mult,right,-1,-1,-1,-1,55,33,1,-1,112277
471,8,543,add,left,-1,-1,-1,-1,55,32,2,-1,113828
471,8,345,add,left,-1,-1,-1,-1,59,46,3,-1,115185
471,8,315,mult,right,-1,-1,-1,-1,62,43,4,-1,116510
471,8,3663,mult,right,9,12,108,1,51,30,5,-1,121183
471,8,3847,-1,-1,17,22,300,0,61,39,6,-1,126041
471,8,1996,-1,-1,11,21,234,0,57,49,7,-1,129046
471,8,1792,-1,-1,23,24,543,0,67,48,8,-1,131844
3950,5,4249,add,left,-1,-1,-1,-1,60,46,1,-2,377975
3950,5,2295,add,left,-1,-1,-1,-1,57,51,2,-2,381282
3950,5,632,mult,right,-1,-1,-1,-1,63,55,3,-2,382925
3950,5,2948,mult,right,-1,-1,-1,-1,73,58,4,-2,386885
3950,5,7168,add,left,3,22,25,1,57,64,5,-2,395064
3950,8,1674,mult,right,-1,-1,-1,-1,56,20,1,-1,400640
3950,8,600,add,left,-1,-1,-1,-1,54,24,2,-1,402251
3950,8,441,mult,right,-1,-1,-1,-1,58,34,3,-1,403704
3950,8,551,add,left,-1,-1,-1,-1,56,15,4,-1,405267
3950,8,3826,add,left,2,18,20,1,59,20,5,-1,410105
3950,8,5682,mult,right,1,14,14,1,49,28,6,-1,416794
3950,8,3932,mult,right,3,18,54,1,65,11,7,-1,421738
3950,8,4072,add,left,15,16,31,1,66,31,8,-1,426818
962,5,2743,mult,right,-1,-1,-1,-1,55,40,1,-2,759455
962,5,1113,mult,right,-1,-1,-1,-1,55,78,2,-2,761579
962,5,3316,add,left,-1,-1,-1,-1,45,49,3,-2,765903
962,5,863,mult,right,-1,-1,-1,-1,57,66,4,-2,767779
962,5,35522,mult,right,13,18,234,1,47,50,5,-2,804311
962,8,1853,mult,right,-1,-1,-1,-1,59,53,1,-1,811260
962,8,1324,add,left,-1,-1,-1,-1,63,60,2,-1,813593
962,8,475,mult,right,-1,-1,-1,-1,71,52,3,-1,815079
962,8,468,add,left,-1,-1,-1,-1,62,52,4,-1,816557
962,8,15008,add,left,9,11,20,1,56,58,5,-1,832576
962,8,11852,mult,right,1,12,12,1,63,57,6,-1,845440
962,8,23029,mult,right,3,14,42,1,51,59,7,-1,869479
962,8,7205,mult,right,6,20,120,1,69,66,8,-1,877692
2350,5,2295,add,right,-1,-1,-1,-1,25,36,1,-2,157667
2350,5,562,add,right,-1,-1,-1,-1,31,46,2,-2,159237
2350,5,1139,mult,left,-1,-1,-1,-1,51,56,3,-2,161384
2350,5,473,add,right,-1,-1,-1,-1,32,48,4,-2,162865
2350,5,6301,add,right,6,8,14,1,48,34,5,-2,170173
2350,8,1421,mult,left,-1,-1,-1,-1,66,46,1,-1,177604
2350,8,449,add,right,-1,-1,-1,-1,65,57,2,-1,179064
2350,8,443,add,right,-1,-1,-1,-1,61,39,3,-1,180514
2350,8,376,mult,left,-1,-1,-1,-1,57,52,4,-1,181898
2350,8,2372,add,right,1,17,18,1,62,43,5,-1,185282
2350,8,3244,add,right,7,21,28,1,57,41,6,-1,189537
2350,8,3220,add,right,2,18,20,1,60,50,7,-1,193766
2350,8,4042,add,right,16,21,37,1,59,41,8,-1,198818
2969,5,1137,add,right,-1,-1,-1,-1,37,66,1,-2,155062
2969,5,435,mult,left,-1,-1,-1,-1,37,50,2,-2,156506
2969,5,380,mult,left,-1,-1,-1,-1,46,67,3,-2,157894
2969,5,596,mult,left,-1,-1,-1,-1,48,55,4,-2,159501
2969,5,1821,mult,left,1,9,9,1,35,67,5,-2,162332
2969,8,648,mult,left,-1,-1,-1,-1,57,51,1,-1,166304
2969,8,223,mult,left,-1,-1,-1,-1,70,47,2,-1,167535
2969,8,420,add,right,-1,-1,-1,-1,57,50,3,-1,168963
2969,8,281,add,right,-1,-1,-1,-1,51,61,4,-1,170255
2969,8,3658,add,right,4,12,16,1,60,55,5,-1,174924
2969,8,2342,mult,left,7,9,63,1,46,41,6,-1,178277
2969,8,2639,add,right,13,18,31,1,60,65,7,-1,181927
2969,8,4217,mult,left,5,20,100,1,58,58,8,-1,187155
1133,5,2130,add,left,-1,-1,-1,-1,59,56,1,-2,413901
1133,5,924,mult,right,-1,-1,-1,-1,47,59,2,-2,415835
1133,5,923,mult,right,-1,-1,-1,-1,51,58,3,-2,417766
1133,5,1095,mult,right,-1,-1,-1,-1,51,61,4,-2,419869
1133,5,11754,add,left,6,15,21,1,49,59,5,-2,432634
1133,8,1548,mult,right,-1,-1,-1,-1,55,68,1,-1,438181
1133,8,1031,add,left,-1,-1,-1,-1,50,63,2,-1,440221
1133,8,844,mult,right,-1,-1,-1,-1,63,60,3,-1,442074
1133,8,864,add,left,-1,-1,-1,-1,59,56,4,-1,443949
1133,8,5751,add,left,11,14,25,1,54,46,5,-1,450710
1133,8,21236,mult,right,11,17,187,1,57,56,6,-1,472955
1133,8,9424,add,left,15,21,36,1,51,66,7,-1,483393
1133,8,47201,-1,-1,17,24,404,0,68,63,8,-1,531603
955,5,2918,mult,left,-1,-1,-1,-1,57,38,1,-2,664742
955,5,855,add,right,-1,-1,-1,-1,55,37,2,-2,666604
955,5,1000,add,right,-1,-1,-1,-1,64,37,3,-2,668612
955,5,1243,add,right,-1,-1,-1,-1,69,51,4,-2,670865
955,5,20472,mult,left,8,19,152,1,56,50,5,-2,692344
955,8,2079,mult,left,-1,-1,-1,-1,27,61,1,-1,699001
955,8,497,add,right,-1,-1,-1,-1,25,56,2,-1,700511
955,8,426,mult,left,-1,-1,-1,-1,22,62,3,-1,701945
955,8,381,add,right,-1,-1,-1,-1,24,60,4,-1,703333
955,8,5461,add,right,2,9,11,1,34,55,5,-1,709805
955,8,3301,mult,left,3,20,60,1,29,56,6,-1,714112
955,8,8435,add,right,17,21,38,1,24,58,7,-1,723557
955,8,14538,mult,left,12,17,204,1,31,58,8,-1,739103
4784,5,2626,add,right,-1,-1,-1,-1,46,59,1,-2,422320
4784,5,2016,mult,left,-1,-1,-1,-1,39,41,2,-2,425345
4784,5,1975,add,right,-1,-1,-1,-1,36,43,3,-2,428331
4784,5,1498,mult,left,-1,-1,-1,-1,48,47,4,-2,430837
4784,5,12618,add,right,12,19,31,1,36,44,5,-2,444463
4784,8,1669,mult,left,-1,-1,-1,-1,18,62,1,-1,452480
4784,8,1379,add,right,-1,-1,-1,-1,35,49,2,-1,454868
4784,8,800,mult,left,-1,-1,-1,-1,37,63,3,-1,456675
4784,8,2103,mult,left,-1,-1,-1,-1,23,60,4,-1,459788
4784,8,12292,add,right,21,21,42,1,35,74,5,-1,473091
4784,8,6887,add,right,10,10,20,1,40,59,6,-1,480985
4784,8,3660,add,right,7,12,19,1,30,58,7,-1,485653
4784,8,2867,add,right,3,24,27,1,30,52,8,-1,489530
2346,5,2447,add,right,-1,-1,-1,-1,75,38,1,-2,635298
2346,5,1705,add,right,-1,-1,-1,-1,64,32,2,-2,638015
2346,5,1396,add,right,-1,-1,-1,-1,72,37,3,-2,640418
2346,5,2190,mult,left,-1,-1,-1,-1,72,32,4,-2,643618
2346,5,5438,add,right,12,24,36,1,71,43,5,-2,650068
2346,8,2851,add,right,-1,-1,-1,-1,57,61,1,-1,657229
2346,8,1092,mult,left,-1,-1,-1,-1,57,55,2,-1,659330
2346,8,1018,mult,left,-1,-1,-1,-1,60,54,3,-1,661357
2346,8,408,add,right,-1,-1,-1,-1,62,45,4,-1,662778
2346,8,4663,add,right,3,17,20,1,46,52,5,-1,668451
2346,8,2377,mult,left,2,9,18,1,53,61,6,-1,671840
2346,8,8905,add,right,16,17,33,1,51,53,7,-1,681755
2346,8,5857,add,right,5,15,20,1,64,44,8,-1,688621
4865,5,1992,mult,left,-1,-1,-1,-1,54,22,1,-2,793733
4865,5,2312,add,right,-1,-1,-1,-1,49,48,2,-2,797066
4865,5,701,mult,left,-1,-1,-1,-1,63,39,3,-2,798781
4865,5,753,add,right,-1,-1,-1,-1,50,25,4,-2,800557
4865,5,8791,mult,left,14,14,196,1,59,37,5,-2,810361
4865,8,2629,add,right,-1,-1,-1,-1,46,49,1,-1,816397
4865,8,437,mult,left,-1,-1,-1,-1,46,64,2,-1,817861
4865,8,492,add,right,-1,-1,-1,-1,20,36,3,-1,819371
4865,8,1151,mult,left,-1,-1,-1,-1,45,42,4,-1,821533
4865,8,15976,mult,left,20,24,480,1,33,43,5,-1,838525
4865,8,5427,add,right,12,24,36,1,39,42,6,-1,844971
4865,8,6854,add,right,16,23,39,1,38,52,7,-1,852833
4865,8,2359,add,right,11,22,33,1,34,31,8,-1,856214
3306,5,1600,add,left,-1,-1,-1,-1,54,53,1,-2,436487
3306,5,561,add,left,-1,-1,-1,-1,52,46,2,-2,438058
3306,5,450,mult,right,-1,-1,-1,-1,57,45,3,-2,439517
3306,5,442,mult,right,-1,-1,-1,-1,48,55,4,-2,440966
3306,5,25226,add,left,11,23,34,1,61,69,5,-2,467201
3306,8,1463,add,left,-1,-1,-1,-1,63,60,1,-1,474915
3306,8,636,add,left,-1,-1,-1,-1,56,47,2,-1,476560
3306,8,437,mult,right,-1,-1,-1,-1,46,57,3,-1,478009
3306,8,1180,add,left,-1,-1,-1,-1,61,70,4,-1,480198
3306,8,3162,mult,right,7,7,49,1,50,65,5,-1,484368
3306,8,9992,mult,right,6,16,96,1,61,59,6,-1,495368
3306,8,6152,mult,right,7,12,84,1,58,59,7,-1,502530
3306,8,2809,add,left,5,17,22,1,70,65,8,-1,506352
4839,5,3025,mult,left,-1,-1,-1,-1,71,57,1,-2,149725
4839,5,666,add,right,-1,-1,-1,-1,46,46,2,-2,151399
4839,5,450,mult,left,-1,-1,-1,-1,61,71,3,-2,152856
4839,5,429,mult,left,-1,-1,-1,-1,61,59,4,-2,154292
4839,5,3479,add,right,6,18,24,1,66,55,5,-2,158777
4839,8,1361,mult,left,-1,-1,-1,-1,42,70,1,-1,162852
4839,8,425,add,right,-1,-1,-1,-1,40,57,2,-1,164285
4839,8,370,mult,left,-1,-1,-1,-1,42,73,3,-1,165666
4839,8,376,mult,left,-1,-1,-1,-1,30,69,4,-1,167054
4839,8,6650,add,right,16,16,32,1,47,57,5,-1,174711
4839,8,4132,add,right,11,14,25,1,34,57,6,-1,179852
4839,8,1709,add,right,7,15,22,1,49,59,7,-1,182566
4839,8,1293,add,right,1,11,12,1,39,60,8,-1,184867
4261,5,3497,add,left,-1,-1,-1,-1,37,50,1,-2,306753
4261,5,1068,mult,right,-1,-1,-1,-1,36,58,2,-2,308830
4261,5,479,mult,right,-1,-1,-1,-1,52,57,3,-2,310318
4261,5,564,mult,right,-1,-1,-1,-1,39,56,4,-2,311894
4261,5,12623,add,left,4,24,28,1,39,66,5,-2,325526
4261,8,1773,add,left,-1,-1,-1,-1,33,62,1,-1,336088
4261,8,376,mult,right,-1,-1,-1,-1,47,68,2,-1,337476
4261,8,406,mult,right,-1,-1,-1,-1,40,59,3,-1,338895
4261,8,426,add,left,-1,-1,-1,-1,45,69,4,-1,340334
4261,8,2760,mult,right,4,7,28,1,59,66,5,-1,344105
4261,8,1652,mult,right,1,11,11,1,36,59,6,-1,346767
4261,8,2514,mult,right,4,22,88,1,47,61,7,-1,350292
4261,8,2234,add,left,9,10,19,1,38,58,8,-1,353535
